venue_id,venue_name,city,admin_area_1,admin_area_2,nation,nation_code,continent,hemisphere,home_team_id_1,home_team_id_2,latitude,longitude,elevation,dist2coast_coarse,dist2coast_fine,timezone,utc_offset_str
2bgd73,Sylhet International Cricket Stadium,Sylhet,Sylhet,,Bangladesh,BGD,Asia,N,bgdMT20,bgdFT20,24.9209101,91.8685606,37,242,238.8856373106989,Asia/Dhaka,+06:00
3bgd74,Sheikh Abu Naser Stadium,Khulna,Khulna,,Bangladesh,BGD,Asia,N,bgdMT20,bgdFT20,22.8445371,89.5373893,5,61,43.64723415268638,Asia/Dhaka,+06:00
4bgd75,Zahur Ahmed Chowdhury Stadium,Chattogram,Chittagong,,Bangladesh,BGD,Asia,N,bgdMT20,bgdFT20,22.35585,91.767739,9,2,1.0739498518073038,Asia/Dhaka,+06:00
5bgd76,Khan Shaheb Osman Ali Stadium,Fatullah,Dhaka,,Bangladesh,BGD,Asia,N,bgdMT20,bgdFT20,23.6502114,90.488824,6,100,127.46406252022092,Asia/Dhaka,+06:00
1tto77,Brian Lara Stadium,Tarouba,City of San Fernando,,Trinidad and Tobago,TTO,America,N,wiMT20,wiFT20,10.296167,-61.431155,28,4,2.764216615675557,America/Caracas,-04:00
2tto78,Queen's Park Oval,Port of Spain,City of Port of Spain,,Trinidad and Tobago,TTO,America,N,wiMT20,wiFT20,10.667411,-61.5237463,17,2,1.226654874774988,America/Grenada,-04:00
1aus79,Simonds Stadium,Geelong,Victoria,Greater Geelong,Australia,AUS,Oceania,S,ausMT20,ausFT20,-38.158141,144.354596,26,3,1.7260883203811197,Australia/Melbourne,+11:00
2aus80,W.A.C.A. Ground,Perth,Western Australia,City of Perth,Australia,AUS,Oceania,S,ausMT20,ausFT20,-31.959849,115.879628,18,2,11.852821724852122,Australia/Perth,+08:00
3aus81,Riverway Stadium,Townsville,Queensland,Townsville,Australia,AUS,Oceania,S,ausMT20,ausFT20,-19.3176159,146.7318618,19,11,10.556417177528107,Australia/Brisbane,+10:00
4aus82,Bellerive Oval,Hobart,Tasmania,Clarence,Australia,AUS,Oceania,S,ausMT20,ausFT20,-42.8772952,147.3736444,16,0,0.2032730072971125,Australia/Hobart,+11:00
5aus83,Manuka Oval,Canberra,Australian Capital Territory,,Australia,AUS,Oceania,S,ausMT20,ausFT20,-35.3179533,149.1347561,576,101,104.00570116598364,Australia/Sydney,+11:00
6aus84,Sydney Cricket Ground,Sydney,New South Wales,Woollahra,Australia,AUS,Oceania,S,ausMT20,ausFT20,-33.8914241,151.2247484,48,3,4.276566982405078,Australia/Sydney,+11:00
7aus85,Allan Border Field,Brisbane,Queensland,Brisbane,Australia,AUS,Oceania,S,ausMT20,ausFT20,-27.4351989,153.0462885,12,4,10.09923527483346,Australia/Brisbane,+10:00
8aus86,Adelaide Oval,Adelaide,South Australia,Adelaide,Australia,AUS,Oceania,S,ausMT20,ausFT20,-34.9155596,138.5962772,26,9,9.402667921617857,Australia/Adelaide,+10:30
9aus87,Sydney Showground Stadium,Sydney,New South Wales,Canada Bay,Australia,AUS,Oceania,S,ausMT20,ausFT20,-33.8431422,151.0676444,19,7,14.914102081497187,Australia/Sydney,+11:00
10aus88,Perth Stadium,Perth,Western Australia,Belmont,Australia,AUS,Oceania,S,ausMT20,ausFT20,-31.951137,115.889005,7,2,12.764699305347952,Australia/Perth,+08:00
11aus89,North Sydney Oval,Sydney,New South Wales,North Sydney,Australia,AUS,Oceania,S,ausMT20,ausFT20,-33.831888,151.2093253,90,1,6.626373628622854,Australia/Sydney,+11:00
12aus90,Melbourne Cricket Ground,Melbourne,Victoria,Melbourne,Australia,AUS,Oceania,S,ausMT20,ausFT20,-37.819909,144.983225,9,4,4.279000554780989,Australia/Melbourne,+11:00
13aus91,Stadium Australia,Sydney,New South Wales,Canada Bay,Australia,AUS,Oceania,S,ausMT20,ausFT20,-33.8471082,151.0633848,30,8,14.82269410124824,Australia/Sydney,+11:00
14aus92,Brisbane Cricket Ground,Brisbane,Queensland,Brisbane,Australia,AUS,Oceania,S,ausMT20,ausFT20,-27.485885,153.0379847,6,7,13.958073026048522,Australia/Brisbane,+10:00
15aus93,Kerrydale Oval,Gold Coast,Queensland,Gold Coast,Australia,AUS,Oceania,S,ausMT20,ausFT20,-28.0754674,153.3886916,5,5,5.5830763669149865,Australia/Brisbane,+10:00
16aus94,Carrara Oval,Carrara,Queensland,Gold Coast,Australia,AUS,Oceania,S,ausMT20,ausFT20,-28.00632,153.367092,1,5,6.3842504416601225,Australia/Brisbane,+10:00
17aus95,Great Barrier Reef Arena,Mackay,Queensland,Mackay,Australia,AUS,Oceania,S,ausMT20,ausFT20,-21.159464,149.186285,0,1,1.3679681308327014,Australia/Brisbane,+10:00
18aus96,Junction Oval,Melbourne,Victoria,Port Phillip,Australia,AUS,Oceania,S,ausMT20,ausFT20,-37.8559903,144.9801966,21,1,1.0471452997681625,Australia/Melbourne,+11:00
1lka97,R.Premadasa Stadium,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.9399983,79.8722901,3,2,2.258129479419789,Asia/Colombo,+05:30
2lka98,Chilaw Marians Cricket Club Ground,Katunayake,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,7.164952,79.888161,15,3,2.2749057212691834,Asia/Colombo,+05:30
3lka99,Pallekele International Cricket Stadium,Kandy,Central,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,7.2806408,80.7224634,452,95,95.22066451603516,Asia/Colombo,+05:30
4lka100,P Sara Oval,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.918937,79.884169,10,3,4.086182558833971,Asia/Colombo,+05:30
5lka101,Sinhalese Sports Club Ground,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.905885,79.869431,9,3,2.129807973607449,Asia/Colombo,+05:30
6lka102,Rangiri Dambulla International Stadium,Dambulla,Central,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,7.859524,80.63403,169,88,88.76858645438003,Asia/Colombo,+05:30
7lka103,Galle International Stadium,Galle,Southern,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.0315586,80.2160326,6,0,0.1775833428682604,Asia/Colombo,+05:30
8lka104,Colts Cricket Club Ground,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.8862978,79.8675971,4,3,1.408248323611701,Asia/Colombo,+05:30
9lka105,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Southern,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.353582,81.026869,82,25,25.25559203971183,Asia/Colombo,+05:30
10lka106,Mercantile Cricket Association Ground,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.907864,79.870342,11,3,2.2768171517620144,Asia/Colombo,+05:30
11lka107,Colombo Cricket Club Ground,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.8862978,79.8675971,4,3,1.408248323611701,Asia/Colombo,+05:30
12lka108,Nondescripts Cricket Club Ground,Colombo,Western,,Sri Lanka,LKA,Asia,N,lkaMT20,lkaFT20,6.907838,79.867817,5,3,2.006512005208636,Asia/Colombo,+05:30
1wal109,Sophia Gardens,Cardiff,Wales,Cardiff,Wales,WAL,Europe,N,engMT20,engFT20,51.487354,-3.191429,10,3,3.902535522005329,Europe/London,+00:00
1usa110,Woodley Cricket Field,Los Angeles,California,Los Angeles County,United States of America,USA,America,N,usaMT20,usaFT20,34.177951,-118.475685,216,17,16.753809645881365,America/Los_Angeles,-08:00
2usa111,Nassau County International Cricket Stadium,New York,New York,Nassau County,United States of America,USA,America,N,usaMT20,usaFT20,40.730129,-73.575472,24,9,8.702573119896114,America/New_York,-05:00
3usa112,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Florida,Broward County,United States of America,USA,America,N,usaMT20,usaFT20,26.14006,-80.198673,7,9,5.149611088528522,America/New_York,-05:00
4usa113,Prairie View Cricket Complex,Houston,Texas,Waller County,United States of America,USA,America,N,usaMT20,usaFT20,30.087393,-96.007753,76,106,104.02527114673946,America/Chicago,-06:00
5usa114,Grand Prairie Stadium,Dallas,Texas,Dallas County,United States of America,USA,America,N,usaMT20,usaFT20,32.7683435,-96.9860041,132,388,,America/Chicago,-06:00
1guy115,Providence Stadium,Providence,Demerara-Mahaica,,Guyana,GUY,America,N,wiMT20,wiFT20,6.7577816,-58.1778885,1,2,5.534442654733023,America/Guyana,-04:00
1irl116,The Village,Dublin,Leinster,,Ireland,IRL,Europe,N,irlMT20,irlFT20,53.448784,-6.160269,16,0,0.4359465114474423,Europe/Dublin,+00:00
