match_id,innings,overs,balls,batter_id,bowler_id,non_striker_id,runs_batter,runs_extras,runs_total,runs_batter_non_boundary,wickets,player_out_id,how_out,fielder1_id,fielder2_id,fielder3_id,wickets2,player_out2_id,how_out2,extras_byes,extras_legbyes,extras_noballs,extras_penalty,extras_wides,sex,powerplay,super_over,death_overs,middle_overs,bowl_hand,bowl_style
1442989,1,9,2,b4b99816,1be67d37,a4e37e47,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,9,3,a4e37e47,1be67d37,b4b99816,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,9,4,a4e37e47,1be67d37,b4b99816,0,0,0,,1,a4e37e47,caught,5d1e7582,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,9,5,04a418e8,1be67d37,b4b99816,0,1,1,,0,,,,,,0,,,0,0,0,0,1,male,0,0,0,1,R,Offbreak
1442989,1,9,6,04a418e8,1be67d37,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,9,7,b4b99816,1be67d37,04a418e8,0,1,1,,0,,,,,,0,,,0,0,0,0,1,male,0,0,0,1,R,Offbreak
1442989,1,9,8,b4b99816,1be67d37,04a418e8,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,10,1,04a418e8,a97c8ec2,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,10,2,b4b99816,a97c8ec2,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,10,3,04a418e8,a97c8ec2,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,10,4,b4b99816,a97c8ec2,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,10,5,04a418e8,a97c8ec2,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,10,6,b4b99816,a97c8ec2,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,11,1,b4b99816,1be67d37,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,11,2,b4b99816,1be67d37,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,11,3,04a418e8,1be67d37,b4b99816,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,11,4,04a418e8,1be67d37,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,11,5,b4b99816,1be67d37,04a418e8,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,11,6,b4b99816,1be67d37,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Offbreak
1442989,1,12,1,b4b99816,a97c8ec2,04a418e8,0,1,1,,0,,,,,,0,,,0,1,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,12,2,04a418e8,a97c8ec2,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,12,3,b4b99816,a97c8ec2,04a418e8,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,12,4,b4b99816,a97c8ec2,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,12,5,04a418e8,a97c8ec2,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,12,6,04a418e8,a97c8ec2,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,13,1,04a418e8,08548b13,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,13,2,b4b99816,08548b13,04a418e8,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,13,3,b4b99816,08548b13,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,13,4,b4b99816,08548b13,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,13,5,b4b99816,08548b13,04a418e8,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,13,6,b4b99816,08548b13,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,14,1,04a418e8,a97c8ec2,b4b99816,6,0,6,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,14,2,04a418e8,a97c8ec2,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,14,3,04a418e8,a97c8ec2,b4b99816,6,0,6,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,14,4,04a418e8,a97c8ec2,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,14,5,b4b99816,a97c8ec2,04a418e8,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,14,6,b4b99816,a97c8ec2,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,15,1,04a418e8,08548b13,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,15,2,04a418e8,08548b13,b4b99816,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,15,3,b4b99816,08548b13,04a418e8,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,15,4,b4b99816,08548b13,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,15,5,b4b99816,08548b13,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,15,6,04a418e8,08548b13,b4b99816,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,"R, L","Offbreak, Orthodox"
1442989,1,16,1,b4b99816,a97c8ec2,04a418e8,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,16,2,b4b99816,a97c8ec2,04a418e8,0,0,0,,1,b4b99816,stumped,5d1e7582,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,16,3,f19ccfad,a97c8ec2,04a418e8,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,16,4,f19ccfad,a97c8ec2,04a418e8,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,16,5,04a418e8,a97c8ec2,f19ccfad,0,0,0,,1,04a418e8,caught,1be67d37,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,16,6,df064e1a,a97c8ec2,f19ccfad,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,1,17,1,f19ccfad,08548b13,df064e1a,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,"R, L","Offbreak, Orthodox"
1442989,1,17,2,f19ccfad,08548b13,df064e1a,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,"R, L","Offbreak, Orthodox"
1442989,1,17,3,f19ccfad,08548b13,df064e1a,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,"R, L","Offbreak, Orthodox"
1442989,1,17,4,df064e1a,08548b13,f19ccfad,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,"R, L","Offbreak, Orthodox"
1442989,1,17,5,f19ccfad,08548b13,df064e1a,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,"R, L","Offbreak, Orthodox"
1442989,1,17,6,df064e1a,08548b13,f19ccfad,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,"R, L","Offbreak, Orthodox"
1442989,1,18,1,f19ccfad,f24c6701,df064e1a,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,18,2,df064e1a,f24c6701,f19ccfad,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,18,3,df064e1a,f24c6701,f19ccfad,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,18,4,f19ccfad,f24c6701,df064e1a,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,18,5,f19ccfad,f24c6701,df064e1a,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,18,6,f19ccfad,f24c6701,df064e1a,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,19,1,df064e1a,1be67d37,f19ccfad,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,19,2,f19ccfad,1be67d37,df064e1a,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,19,3,f19ccfad,1be67d37,df064e1a,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,19,4,f19ccfad,1be67d37,df064e1a,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,19,5,f19ccfad,1be67d37,df064e1a,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,19,6,df064e1a,1be67d37,f19ccfad,0,1,1,,0,,,,,,0,,,0,0,0,0,1,male,0,0,1,0,R,Offbreak
1442989,1,19,7,df064e1a,1be67d37,f19ccfad,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,20,1,df064e1a,f24c6701,f19ccfad,0,1,1,,0,,,,,,0,,,0,1,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,20,2,f19ccfad,f24c6701,df064e1a,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,20,3,f19ccfad,f24c6701,df064e1a,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,20,4,f19ccfad,f24c6701,df064e1a,6,0,6,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,20,5,f19ccfad,f24c6701,df064e1a,0,0,0,,1,f19ccfad,bowled,,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,1,20,6,2f49c897,f24c6701,df064e1a,0,0,0,,1,2f49c897,run out,5d1e7582,,,0,,,0,0,0,0,0,male,0,0,1,0,R,Offbreak
1442989,2,1,1,8ee36b18,a2f46292,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,1,2,8ee36b18,a2f46292,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,1,3,8ee36b18,a2f46292,5d1e7582,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,1,4,5d1e7582,a2f46292,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,1,5,5d1e7582,a2f46292,8ee36b18,0,1,1,,0,,,,,,0,,,0,0,0,0,1,male,1,0,0,0,L,Seam
1442989,2,1,6,5d1e7582,a2f46292,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,1,7,5d1e7582,a2f46292,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,2,1,8ee36b18,2f49c897,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,2,2,8ee36b18,2f49c897,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,2,3,8ee36b18,2f49c897,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,2,4,8ee36b18,2f49c897,5d1e7582,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,2,5,5d1e7582,2f49c897,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,2,6,8ee36b18,2f49c897,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,3,1,5d1e7582,a2f46292,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,3,2,8ee36b18,a2f46292,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,3,3,8ee36b18,a2f46292,5d1e7582,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,3,4,8ee36b18,a2f46292,5d1e7582,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,3,5,8ee36b18,a2f46292,5d1e7582,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,3,6,8ee36b18,a2f46292,5d1e7582,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,L,Seam
1442989,2,4,1,5d1e7582,2f49c897,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,4,2,5d1e7582,2f49c897,8ee36b18,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,4,3,5d1e7582,2f49c897,8ee36b18,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,4,4,5d1e7582,2f49c897,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,4,5,8ee36b18,2f49c897,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,4,6,8ee36b18,2f49c897,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,5,1,5d1e7582,f19ccfad,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Offbreak
1442989,2,5,2,8ee36b18,f19ccfad,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Offbreak
1442989,2,5,3,8ee36b18,f19ccfad,5d1e7582,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Offbreak
1442989,2,5,4,8ee36b18,f19ccfad,5d1e7582,0,1,1,,0,,,,,,0,,,0,1,0,0,0,male,1,0,0,0,R,Offbreak
1442989,2,5,5,5d1e7582,f19ccfad,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Offbreak
1442989,2,5,6,5d1e7582,f19ccfad,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Offbreak
1442989,2,6,1,5d1e7582,2f49c897,8ee36b18,2,0,2,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,6,2,5d1e7582,2f49c897,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,6,3,5d1e7582,2f49c897,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,6,4,8ee36b18,2f49c897,5d1e7582,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,6,5,5d1e7582,2f49c897,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,6,6,5d1e7582,2f49c897,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,1,0,0,0,R,Seam
1442989,2,7,1,8ee36b18,df064e1a,5d1e7582,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,2,7,2,5d1e7582,df064e1a,8ee36b18,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,2,7,3,5d1e7582,df064e1a,8ee36b18,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,2,7,4,5d1e7582,df064e1a,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,2,7,5,5d1e7582,df064e1a,8ee36b18,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,2,7,6,5d1e7582,df064e1a,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,Legbreak
1442989,2,8,1,5d1e7582,04a418e8,8ee36b18,1,0,1,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,"Offbreak, Legbreak"
1442989,2,8,2,8ee36b18,04a418e8,5d1e7582,4,0,4,0.0,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,"Offbreak, Legbreak"
1442989,2,8,3,8ee36b18,04a418e8,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,"Offbreak, Legbreak"
1442989,2,8,4,8ee36b18,04a418e8,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,"Offbreak, Legbreak"
1442989,2,8,5,8ee36b18,04a418e8,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,"Offbreak, Legbreak"
1442989,2,8,6,8ee36b18,04a418e8,5d1e7582,0,0,0,,0,,,,,,0,,,0,0,0,0,0,male,0,0,0,1,R,"Offbreak, Legbreak"
